Population,YEAR,Years_Since,Sex,Age,Total_Length,Heart_Girth,Skull_Width,Mass
SB,2001,20,F,0,80,42.1,9.7,5.4
SB,2001,20,F,0,150.4,82.5,14.5,86.2
SB,2001,20,F,0,78.5,41.7,10.1,4.5
SB,2001,20,F,0,134.9,87.2,14.2,81.2
SB,2001,20,F,26,226,118.5,22.8,161
SB,2001,20,M,6,226.5,122,22.1,200.5
SB,2001,20,M,7,261,135.2,21.5,283.5
SB,2006,25,M,12,271,155.5,24.6,385.6
SB,2001,20,M,0,84,45.1,10.5,15
SB,2008,27,M,7,242,148,24.7,368.3
SB,2001,20,M,4,215.5,118.5,20.1,199.6
SB,2001,20,F,7,225,120.5,20.3,198.7
SB,2001,20,M,1,161,99.2,15.9,91.6
SB,2001,20,F,12,228,116.7,21,199.6
SB,2002,21,F,13,226,118,24.4,191.4
SB,2001,20,F,9,221,119.2,20.4,220
SB,2007,26,F,7,226,121,20.2,193.7
SB,2001,20,F,1,154,77.5,14.4,71.7
SB,2001,20,F,1,145,75.8,14,66.2
SB,2001,20,M,4,235,131.3,21.1,258.5
SB,2001,20,M,8,247,152.1,25.8,376.5
SB,2001,20,M,2,208,120.7,19.5,172.4
SB,2006,25,M,7,249,137,25.2,301.6
SB,2009,28,M,10,264,174.8,27.1,446.8
SB,2001,20,M,8,252,141,23.8,340.2
SB,2006,25,M,13,276,148,26.7,385.6
SB,2007,26,M,14,287,150.3,27,387.8
SB,2001,20,M,7,257,143,23.8,353.8
SB,2008,27,M,14,253,153,27.6,466.3
SB,2001,20,F,3,215,115,19.7,167.8
SB,2001,20,M,7,258.5,141.2,22.4,362.9
SB,2001,20,F,0,97,47,9.9,15
SB,2001,20,F,3,195,97.5,17,120.2
SB,2002,21,F,4,215,99,19,127
SB,2001,20,M,11,266.5,150,27.9,417.3
SB,2001,20,M,1,207.5,112.5,18.4,192.8
SB,2002,21,F,10,226,110,20.6,165.6
SB,2001,20,M,1,214,122,18.8,244.9
SB,2001,20,F,1,189,122.4,17.1,174.6
SB,2001,20,F,2,179.5,115,16.8,156.5
SB,2001,20,F,1,195,109,17.4,170.1
SB,2007,26,M,12,264,155.5,26.6,445.4
SB,2009,28,F,10,233.5,120.5,22.8,230.9
SB,2001,20,M,1,184,108.2,17.1,161
SB,2001,20,F,1,175,103.5,15.5,122.5
SB,2001,20,M,7,259,152,23.3,343.8
SB,2001,20,F,3,193,109.5,17.8,174.6
SB,2001,20,F,0,140,76,13.3,63.5
SB,2003,22,F,2,201,95.5,17.1,124.7
SB,2001,20,M,1,216.4,115.5,18.5,181.4
SB,2002,21,M,2,264,108.3,18.9,179.2
SB,2007,26,M,7,240,140.5,24,351.5
SB,2009,28,M,9,248,150.3,26.1,349.3
SB,2011,30,M,11,250,178,26.8,440.9
SB,2001,20,M,6,264,149.5,24.9,444.5
SB,2001,20,M,0,149,90,14.5,83.9
SB,2001,20,M,0,150,88.4,15,83.9
SB,2009,28,F,9,226.5,121.8,20.2,215.5
SB,2010,29,F,10,237,122.5,20.3,192.3
SB,2001,20,F,1,195,105.5,17,190.1
SB,2001,20,M,1,212,115,18.5,194.1
SB,2001,20,M,1,197,115.5,17.5,181.4
SB,2002,21,M,2,206,100,18.5,158.8
SB,2001,20,M,1,199,111.6,17.6,183.7
SB,2002,21,M,2,206,105,17.5,145.1
SB,2001,20,M,1,202.2,99.5,17.6,145.1
SB,2002,21,M,2,209,95,18.2,131.5
SB,2001,20,M,7,263.8,149.1,24.6,440
SB,2010,29,M,16,279,150,26.5,369.7
SB,2001,20,M,5,189.8,117.5,17,190.5
SB,2002,21,F,8,216.5,116,19.6,167.8
SB,2001,20,F,4,208,123.4,19.1,235.4
SB,2010,29,F,16,211,116.5,20,187.3
SB,2007,26,M,10,264,147,22.8,328.9
SB,2008,27,M,11,271,159,24.6,430
SB,2009,28,M,12,266,158,25.7,448.1
SB,2010,29,M,13,269,174.8,26.8,465.8
SB,2008,27,M,18,251,159,26.6,453.6
SB,2003,22,M,0,108,52.5,10.8,21.3
SB,2011,30,M,12,252,172.5,25.4,440
SB,2009,28,M,19,262,165,25.2,451.3
SB,2006,25,F,6,218,103,19.4,163.3
SB,2009,28,M,9,260,161,27,419.6
SB,2009,28,M,9,270,155.5,26.3,452.7
SB,2004,23,M,0,86,45.4,10.4,10
SB,2004,23,M,0,83,41.3,10.2,9.5
SB,2004,23,M,0,77,37.3,9,6.6
SB,2004,23,M,0,71,37,8.2,5.9
SB,2007,26,F,9,236,113.5,20.3,208.2
SB,2004,23,M,0,88,46.5,12,11.8
SB,2004,23,F,0,87,44,9.6,10
SB,2004,23,F,0,85,45.1,9.9,10
SB,2004,23,M,0,83,44.2,9.7,11.3
SB,2006,25,M,6,231,110.6,20.9,199.6
SB,2010,29,M,13,270,159,26.4,457.7
SB,2006,25,M,4,221,115.5,19.4,181.4
SB,2008,27,M,6,243,141,22.1,317.5
SB,2009,28,M,7,246.5,140.5,23.5,300.3
SB,2007,26,F,5,218,114.1,19.3,175.1
SB,2008,27,F,6,216,118.5,19.5,181
SB,2006,25,M,12,267,149,23.6,385.6
SB,2004,23,M,0,90,46.5,10.6,10.4
SB,2004,23,F,0,95.5,46,10.7,11.3
SB,2006,25,M,8,257,126.8,22,303.9
SB,2008,27,M,10,270,163.5,26.1,485.8
SB,2009,28,M,11,271,154.3,26.1,419.6
SB,2010,29,M,7,277,146.6,25.3,369.2
SB,2004,23,M,0,97,49,11.1,17.2
SB,2004,23,M,0,93,46,11,15
SB,2008,27,M,5,240,129,22.5,271.2
SB,2010,29,M,7,252,136,24.4,286.7
SB,2006,25,F,3,199,107.5,17.8,145.1
SB,2009,28,F,9,223,113,20.2,206.8
SB,2007,26,F,7,220.5,115.5,19.5,161.5
SB,2005,24,M,0,85.3,46,10.4,12.7
SB,2005,24,F,0,81.5,39,10,10
SB,2008,27,F,5,223,118.5,19.4,206.4
SB,2005,24,M,0,84,43,9.6,8.6
SB,2005,24,M,0,89.5,45,10,11.3
SB,2005,24,M,0,91,45,10,9.5
SB,2006,25,M,8,256,144.5,24,335.7
SB,2006,25,F,1,160,89,14.1,86.2
SB,2008,27,F,3,199.5,107,17.5,151.5
SB,2005,24,M,0,98,48,11.1,17.8
SB,2005,24,M,0,98.5,49.5,11.2,19.3
SB,2006,25,M,0,89,44.6,10.5,11.8
SB,2006,25,M,12,249.5,148,24.3,356.1
SB,2009,28,F,12,230.5,111.2,20,137.4
SB,2006,25,F,9,225.5,112.2,19.8,176.9
SB,2006,25,F,2,183,83.1,16.9,93
SB,2006,25,F,5,213,127.5,20.9,213.2
SB,2009,28,F,5,220.5,116.5,19,190.5
SB,2006,25,F,2,161,79,14.8,72.6
SB,2006,25,F,7,227,113,19,156.5
SB,2006,25,F,23,215,107,18.9,158.8
SB,2006,25,M,5,254,164,28,430.9
SB,2006,25,M,16,253,163.5,27.9,444.5
SB,2006,25,M,4,213,106.8,19.2,176.9
SB,2006,25,M,0,104,48,11.2,17.1
SB,2006,25,F,0,100,47,10.6,16.8
SB,2006,25,F,8,220,104,19.5,154.2
SB,2010,29,F,7,220,109.6,18.4,173.7
SB,2006,25,F,3,192,89,17.5,102.1
SB,2006,25,F,8,221,109.4,20.1,179.2
SB,2006,25,F,0,114,54,11.6,24.9
SB,2006,25,M,12,281,145,26,358.3
SB,2006,25,F,5,216,119,20.3,206.4
SB,2007,26,M,1,166,87,16.3,95.7
SB,2007,26,F,7,224,115,21,176
SB,2007,26,M,13,252,165.5,25.1,410.5
SB,2010,29,M,16,264,160,26.5,435
SB,2007,26,M,7,246,137,23.6,297.1
SB,2007,26,M,8,255,137.1,23.8,339.3
SB,2007,26,M,13,266.5,153.5,26.2,431.4
SB,2007,26,M,12,252,155.1,25,353.8
SB,2007,26,M,16,251,162.4,25.7,408.2
SB,2007,26,M,11,253,151,26.1,412.8
SB,2008,27,M,12,263.5,152.5,26.3,393.3
SB,2009,28,M,13,251.5,150.6,26.7,402.3
SB,2007,26,M,0,80,43,9.5,7.7
SB,2007,26,F,7,225,109,18.3,140.6
SB,2011,30,F,11,214,110,18.8,147.4
SB,2007,26,M,12,261,150,26.2,430.9
SB,2007,26,M,5,214,113,16.6,155.6
SB,2007,26,F,0,100,44.1,11,13.6
SB,2007,26,M,0,97.3,42.4,10.5,10.4
SB,2008,27,M,1,195,113,17.3,167.8
SB,2007,26,M,6,240,114,20.4,198.2
SB,2009,28,M,8,249.8,123.4,22.4,285.8
SB,2007,26,M,19,274,154.4,27.5,426.4
SB,2007,26,F,10,230,124.5,20.6,215.5
SB,2009,28,F,12,223,117,21,177.4
SB,2007,26,F,15,219,113,20.5,164.2
SB,2007,26,M,1,171,91.5,15.6,91.2
SB,2007,26,F,1,163,82,14.7,74.8
SB,2007,26,F,14,221,114.8,21,161.5
SB,2007,26,M,0,87,46.9,11.3,11.3
SB,2007,26,F,0,91,42.5,10.5,11.3
SB,2007,26,F,14,219,109,20.5,158.3
SB,2007,26,M,6,235,118.3,22,220.9
SB,2007,26,F,13,223.5,111,20.1,169.2
SB,2007,26,F,2,191.4,98.8,16.1,111.1
SB,2007,26,M,2,214,116.6,19.1,162.4
SB,2007,26,M,10,268,138.4,22.9,338.8
SB,2010,29,M,13,265,147,23.6,317.5
SB,2007,26,M,8,243,133.8,22.9,287.1
SB,2008,27,M,9,238,147,23,352
SB,2007,26,F,7,206,102,18.6,129.3
SB,2009,28,F,9,221,102.5,20,157.9
SB,2008,27,F,2,194,105,18.2,135.2
SB,2008,27,M,14,245,156,24.5,378.3
SB,2008,27,M,4,212,106,18.1,154.7
SB,2008,27,F,9,215,112,19.8,186
SB,2008,27,F,3,198,106.5,18.1,158.3
SB,2009,28,M,1,184,87,16,99.8
SB,2009,28,F,12,209,131.1,22.2,203.7
SB,2009,28,F,12,221,120.9,20.5,210.5
SB,2008,27,F,11,216,113,20.4,171.5
SB,2008,27,M,8,243,130.5,22.2,311.2
SB,2009,28,M,9,252,142,23.3,336.1
SB,2010,29,M,10,254,146,24.1,360.6
SB,2008,27,F,8,209,113,19.4,170.1
SB,2010,29,M,12,272,167,27,493.1
SB,2008,27,M,5,258,150,24.2,366.5
SB,2008,27,F,4,183,93,15.8,101.6
SB,2008,27,M,7,240,136.6,23,275.3
SB,2011,30,M,10,252,160.5,26,392.4
SB,2009,28,F,1,146,79.5,13.6,68
SB,2010,29,F,2,186,94,15.9,106.1
SB,2011,30,F,3,213,113.5,18.1,163.3
SB,2008,27,F,4,193,102,17.1,142.9
SB,2008,27,M,8,232,143.5,22.8,318
SB,2008,27,F,0,92,47,10.6,15.8
SB,2008,27,F,0,145,104.8,14.4,88.5
SB,2009,28,F,1,164,94.5,15.2,99.8
SB,2008,27,M,0,102,45.1,11.1,17.3
SB,2008,27,M,0,164,103,14.6,98.4
SB,2009,28,M,1,188.5,106,17.5,137.9
SB,2008,27,F,3,200,109.6,17,151.5
SB,2008,27,M,4,230,121.6,21,233.6
SB,2009,28,M,5,250,157.7,22.9,433.2
SB,2009,28,M,5,250,169.5,23.1,463.6
SB,2008,27,F,4,222,120.3,20.3,210.9
SB,2008,27,M,5,189,98,17.6,139.3
SB,2009,28,F,14,234,127.2,21,254
SB,2008,27,F,13,226.2,118.7,20.4,221.4
SB,2008,27,M,0,108,53,11.9,26.3
SB,2008,27,F,0,107.5,54,11.3,24.9
SB,2008,27,M,4,227,117,20.2,204.1
SB,2008,27,F,6,211,112,19.4,176.9
SB,2008,27,M,0,112.5,55.2,12.1,29
SB,2008,27,F,11,223,108,19.8,171
SB,2008,27,M,4,210,116,33.4,195
SB,2008,27,F,4,200,101.5,17.9,138.8
SB,2008,27,F,4,205,108.6,18.2,172.8
SB,2008,27,F,4,207,108,17.4,170.1
SB,2008,27,F,6,204,104.6,17.5,147.4
SB,2008,27,F,8,211,115,19.1,208.7
SB,2008,27,F,5,217,124,18.6,215.5
SB,2010,29,F,7,228,114,20.1,186.9
SB,2008,27,M,0,152,88,15.5,92.5
SB,2008,27,M,0,163,104.6,16.1,112.5
SB,2008,27,M,3,234,148,20.7,340.2
SB,2008,27,M,3,228,135.5,21.5,268.5
SB,2009,28,M,4,235,143.2,21.9,307.5
SB,2008,27,M,1,208,116.5,18,198.7
SB,2008,27,F,1,186,109,17.2,165.6
SB,2008,27,F,0,129.5,71.3,12.7,48.5
SB,2009,28,F,1,155,67,13.7,53.5
SB,2011,30,F,3,206,119.5,17.6,167.4
SB,2008,27,M,0,124.5,73.1,12.6,43.1
SB,2009,28,M,1,152,73.5,14.1,58.5
SB,2010,29,M,2,203,97.7,17.2,106.6
SB,2008,27,M,2,225,134,19.8,286.2
SB,2008,27,F,1,205,115.5,17.5,186
SB,2008,27,F,1,206,130,17.7,210
SB,2009,28,F,2,216,121,18.4,245.4
SB,2009,28,F,2,229,121.2,18.4,235.9
SB,2008,27,F,1,183,113.5,16.8,158.8
SB,2008,27,M,0,135,80.7,13.9,59.4
SB,2008,27,M,0,147,88.5,14,88.5
SB,2008,27,M,2,204.5,125,17.8,231.3
SB,2008,27,M,0,150,89.6,14.9,81.6
SB,2008,27,M,0,161,106.5,14.9,99.8
SB,2008,27,F,0,147,80,13.4,63.5
SB,2008,27,F,0,148.5,98,14.1,82.6
SB,2008,27,F,3,221,133,17.7,201.4
SB,2009,28,M,5,242,139.8,24.6,288
SB,2009,28,M,12,262,165.2,27.1,433.6
SB,2009,28,F,14,233,131.5,21.5,217.7
SB,2009,28,M,6,251,143.5,23,326.1
SB,2010,29,F,12,230.5,120,19.6,181.4
SB,2010,29,F,1,168,85,15.6,90.7
SB,2010,29,M,5,225,125.5,20.9,242.7
SB,2010,29,M,1,174,107,16.5,120.2
SB,2010,29,M,1,155,87.5,15.6,85.3
SB,2010,29,M,1,162,79.8,15.4,85.3
SB,2010,29,M,0,96,49,11.2,16.3
SB,2010,29,M,0,96,49.5,11.3,15.4
SB,2010,29,F,9,229,126,21.8,203.2
SB,2010,29,F,0,91,44,10.3,14.1
SB,2009,28,M,17,256,166.5,27,451.8
SB,2009,28,F,4,210,116.8,18.9,170.6
SB,2009,28,F,9,216,119.8,21.6,222.3
SB,2009,28,F,1,175,84,14.6,76.7
SB,2009,28,F,6,222,109,19.3,161.9
SB,2009,28,M,11,234.5,125,23,248.1
SB,2009,28,F,0,96,43.5,10.6,11.8
SB,2009,28,F,0,135,77.5,12.9,68
SB,2009,28,F,0,98,46,10.7,15
SB,2009,28,F,0,143,82,13.2,79.4
SB,2009,28,M,1,173,86.1,15.8,69.9
SB,2009,28,F,7,215,115.2,20.5,176.9
SB,2010,29,F,8,219,108.5,20.8,180.5
SB,2009,28,F,6,231,100.6,20.1,145.6
SB,2010,29,F,1,177,89,15,87.1
SB,2009,28,M,0,101.5,53,11.4,16.8
SB,2009,28,M,1,194,109.5,16.8,148.8
SB,2009,28,M,1,194,106.6,17.1,172.4
SB,2010,29,M,2,217,106,17.7,142.4
SB,2009,28,M,1,185,106.5,15.9,149.2
SB,2009,28,M,1,191,109.5,16.7,157.4
SB,2009,28,F,6,230.5,115.5,19.9,179.2
SB,2010,29,F,7,236,115.5,20.4,200.9
SB,2010,29,M,1,175,86.5,16.2,93.4
SB,2009,28,M,0,93,53,10.7,16.3
SB,2009,28,F,7,228,108.5,19.2,185.1
SB,2009,28,F,1,168,79.4,14.1,72.6
SB,2009,28,M,7,234,128.7,23.3,238.1
SB,2009,28,M,1,173.5,92.1,16.7,107
SB,2009,28,F,7,228,116.2,20.5,195.5
SB,2009,28,F,0,119.5,59.5,12,28.6
SB,2009,28,F,0,160,86.3,14.3,83.5
SB,2010,29,F,9,214,128,21,220
SB,2009,28,F,8,220,125.8,20.3,262.2
SB,2009,28,M,0,155,117.5,15.7,116.6
SB,2009,28,M,0,136,68,12.9,47.2
SB,2009,28,M,0,120,67,12.8,52.6
SB,2009,28,M,0,122,65.5,12,39.5
SB,2009,28,M,0,119,64.5,12.3,43.5
SB,2009,28,M,7,245,140,20.2,292.6
SB,2010,29,F,0,92,47.5,10.1,13.2
SB,2010,29,M,0,86,42,10,11.3
SB,2010,29,M,0,84,40,9.6,9.1
SB,2010,29,F,0,55,32,8.5,5.4
SB,2010,29,M,9,259,144.5,24.3,420.5
SB,2009,28,F,0,130,73.5,13,44.9
SB,2009,28,F,0,124,66.5,12.7,44
SB,2009,28,F,2,189,99.5,16.6,122.5
SB,2009,28,F,2,189.5,119.7,17,188.2
SB,2010,29,M,3,215,120.5,20.4,196
SB,2011,30,F,17,226,138,21.7,242.7
SB,2010,29,F,16,230,152.5,21.4,236.3
SB,2010,29,M,1,155,89,15.5,94.3
SB,2011,30,M,2,198,113,18.6,166
SB,2010,29,F,1,183,113.5,16.4,116.1
SB,2010,29,M,2,199,107,18.3,141.5
SB,2010,29,F,5,216,109,19.5,166
SB,2010,29,M,0,92,47.5,11.1,14.5
SB,2011,30,M,1,187.5,106.2,15.6,110.2
SB,2010,29,F,0,92,40,10.6,10.4
SB,2011,30,F,1,172.5,91,15.1,84.4
SB,2010,29,F,0,94,41,10.9,13.6
SB,2010,29,M,0,93,46.5,10.9,12.2
SB,2010,29,F,0,91,49.5,10.5,12.2
SB,2010,29,M,0,96,47.5,11.1,15.4
SB,2010,29,M,0,88,47.1,10.8,12.7
SB,2010,29,M,0,96,46.5,9.9,12.2
SB,2011,30,F,15,215,120.1,19.6,177.8
SB,2010,29,F,14,221,119,19.9,178.7
SB,2010,29,F,2,173,86,15.2,88
SB,2010,29,F,9,227,114,20.1,193.2
SB,2010,29,M,5,228,123.3,20.7,208.7
SB,2011,30,M,18,262,168,26.5,432.3
SB,2011,30,F,4,208,119,18.7,186
SB,2011,30,M,19,274,159.5,27.3,398.7
SB,2011,30,M,7,259,154.5,24.7,396
SB,2011,30,F,6,222,115,19.8,158.8
SB,2011,30,M,1,142,82,13.7,55.8
SB,2011,30,M,10,241,120,22.1,216.4
SB,2011,30,M,4,241,146,22.6,290.3
SB,2011,30,F,18,226,135,21,244.9
SB,2011,30,F,1,156,78.1,13.7,59.9
SB,2011,30,M,6,229,131.5,21.4,247.2
SB,2011,30,F,4,205,114.5,19.4,188.2
SB,2011,30,F,5,214,118.5,19.4,163.7
SB,2011,30,F,10,210.5,123.5,20.9,186
SB,2011,30,M,15,251,173.3,27,443.6
SB,2011,30,F,5,213,114.5,20.1,152.4
SB,2011,30,F,2,182,89.2,17,107
SB,2011,30,F,4,206,110.3,17.8,159.7
SB,2011,30,F,19,216.5,113.6,20.2,184.2
SB,2011,30,M,6,249,141.5,23.2,324.8
SB,2011,30,M,4,237,113.5,20.1,191.4
SB,2011,30,F,8,202,108.2,19.9,146.5
SB,2011,30,M,2,201.3,95.2,16.8,98.9
SB,2011,30,M,1,168,85.6,15.9,84.4
SB,2011,30,M,1,176,90.1,15.8,95.3
SB,2009,28,F,6,222,114.3,21.5,194.1
SB,2010,29,F,10,228,114,20.7,188.2
SB,2008,27,F,5,202,107.5,17.3,164.7
SB,2006,25,F,2,186,87,16,95.3
SB,2008,27,F,4,205,121.5,18.9,217.7
SB,2008,27,F,4,203,119.6,18.7,187.3
SB,2008,27,F,9,226,118,20.6,210.9
SB,2009,28,F,10,225,115.5,20.9,192.8
SB,2009,28,M,10,240,157,27.6,401.4
SB,2008,27,M,10,264,156.5,25.1,429.1
SB,2010,29,F,10,221,107,19.5,160.6
SB,2008,27,M,8,249,137.5,22,327.9
SB,2009,28,M,9,259,141,24.1,315.7
SB,2010,29,F,8,220,113.4,19.2,169.6
SB,2011,30,F,9,216.3,115,19.9,161
SB,2009,28,M,10,260.7,135.2,24.2,338.8
SB,2010,29,M,11,246,162,25.5,370.1
SB,2007,26,M,2,222,100,18,156.5
SB,2008,27,M,3,219.5,127,19.8,260.4
SB,2009,28,M,11,252,138.5,25,326.6
SB,2008,27,F,0,54,77,13.6,68
SB,2008,27,F,0,149.5,94.6,13.8,75.3
SB,2009,28,F,10,226,124.7,20.3,195.5
SB,2010,29,F,9,222,115,20.5,175.5